fund_house,scheme_type,scheme_category,scheme_code,scheme_name,scheme_start_date,52_week_high,52_week_low
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,"{'date': '02-01-2013', 'nav': '103.00590'}",111.10720,103.88130
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,119552,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW,"{'date': '02-01-2013', 'nav': '100.05500'}",118.29510,115.72750
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,119553,Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW,"{'date': '02-01-2013', 'nav': '101.73770'}",105.84200,103.17220
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,108272,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW,"{'date': '08-05-2008', 'nav': '10.00160'}",155.70060,145.54140
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,110282,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW,"{'date': '23-09-2008', 'nav': '10.00280'}",114.05390,111.11770
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,108274,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW,"{'date': '24-07-2008', 'nav': '10.00340'}",103.62290,100.89520
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,108273,Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth,"{'date': '05-05-2008', 'nav': '10.00800'}",387.31860,368.90440
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,119550,Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth,"{'date': '02-01-2013', 'nav': '137.49900'}",403.35510,382.95520
Axis Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,120437,Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW,"{'date': '03-01-2013', 'nav': '1001.04900'}",1039.47920,1033.47370
Axis Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,120438,Axis Banking & PSU Debt Fund - Direct Plan - Growth Option,"{'date': '02-01-2013', 'nav': '1053.22710'}",2887.51710,2734.21530
